year,city,country,avg_temp
1832,Campinas,Brazil,18.94
1833,Campinas,Brazil,19.93
1834,Campinas,Brazil,19.21
1835,Campinas,Brazil,18.62
1836,Campinas,Brazil,18.84
1837,Campinas,Brazil,18.28
1838,Campinas,Brazil,18.72
1839,Campinas,Brazil,18.52
1840,Campinas,Brazil,19.20
1841,Campinas,Brazil,18.89
1842,Campinas,Brazil,19.32
1843,Campinas,Brazil,19.46
1844,Campinas,Brazil,
1845,Campinas,Brazil,
1846,Campinas,Brazil,
1847,Campinas,Brazil,
1848,Campinas,Brazil,
1849,Campinas,Brazil,
1850,Campinas,Brazil,
1851,Campinas,Brazil,19.44
1852,Campinas,Brazil,19.60
1853,Campinas,Brazil,19.61
1854,Campinas,Brazil,19.70
1855,Campinas,Brazil,19.70
1856,Campinas,Brazil,18.79
1857,Campinas,Brazil,19.39
1858,Campinas,Brazil,18.39
1859,Campinas,Brazil,19.05
1860,Campinas,Brazil,19.73
1861,Campinas,Brazil,18.99
1862,Campinas,Brazil,19.01
1863,Campinas,Brazil,18.91
1864,Campinas,Brazil,18.99
1865,Campinas,Brazil,18.95
1866,Campinas,Brazil,19.10
1867,Campinas,Brazil,19.21
1868,Campinas,Brazil,20.16
1869,Campinas,Brazil,20.01
1870,Campinas,Brazil,20.03
1871,Campinas,Brazil,19.65
1872,Campinas,Brazil,19.63
1873,Campinas,Brazil,19.84
1874,Campinas,Brazil,19.07
1875,Campinas,Brazil,18.76
1876,Campinas,Brazil,19.00
1877,Campinas,Brazil,19.83
1878,Campinas,Brazil,20.02
1879,Campinas,Brazil,18.78
1880,Campinas,Brazil,19.73
1881,Campinas,Brazil,19.23
1882,Campinas,Brazil,18.62
1883,Campinas,Brazil,18.93
1884,Campinas,Brazil,18.86
1885,Campinas,Brazil,19.80
1886,Campinas,Brazil,18.93
1887,Campinas,Brazil,19.45
1888,Campinas,Brazil,20.12
1889,Campinas,Brazil,20.03
1890,Campinas,Brazil,19.17
1891,Campinas,Brazil,19.56
1892,Campinas,Brazil,19.17
1893,Campinas,Brazil,18.49
1894,Campinas,Brazil,19.48
1895,Campinas,Brazil,19.43
1896,Campinas,Brazil,19.45
1897,Campinas,Brazil,19.51
